,home_team,away_team,home_is_winner,away_win_prob,home_win_prob
6907,Miami Marlins,Atlanta Braves,0,0.4905114948749542,0.5094885051250457
4305,Pittsburgh Pirates,Chicago Cubs,0,0.5233565211296082,0.4766434788703918
4985,Chicago White Sox,Tampa Bay Rays,0,0.5306953668594361,0.469304633140564
7021,Arizona Diamondbacks,St. Louis Cardinals,0,0.5921838521957398,0.40781614780426023
7106,Oakland Athletics,New York Yankees,0,0.6094777882099152,0.39052221179008484
5324,Baltimore Orioles,Kansas City Royals,1,0.5026639103889465,0.49733608961105347
1997,Chicago White Sox,Texas Rangers,1,0.3949753284454346,0.6050246715545654
6565,Boston Red Sox,Toronto Blue Jays,0,0.5045434296131134,0.4954565703868866
2534,Seattle Mariners,Texas Rangers,1,0.4751870036125183,0.5248129963874817
4574,Detroit Tigers,Philadelphia Phillies,0,0.4309362292289734,0.5690637707710267
1221,Los Angeles Dodgers,Tampa Bay Rays,1,0.19555773735046386,0.8044422626495361
4179,Los Angeles Angels,Houston Astros,0,0.5574726343154908,0.4425273656845093
4580,Oakland Athletics,Los Angeles Angels,1,0.4449500203132629,0.5550499796867371
4886,Cincinnati Reds,Cleveland Guardians,0,0.5278803408145905,0.47211965918540955
5986,Washington Nationals,Philadelphia Phillies,0,0.7011187493801116,0.2988812506198883
2770,Milwaukee Brewers,Cincinnati Reds,0,0.48968493938446045,0.5103150606155396
1024,Minnesota Twins,Cincinnati Reds,0,0.40162543058395384,0.5983745694160462
6486,Texas Rangers,Seattle Mariners,0,0.47175599336624147,0.5282440066337586
5360,Los Angeles Angels,Tampa Bay Rays,1,0.5704077780246735,0.42959222197532654
7443,Miami Marlins,Philadelphia Phillies,1,0.4130511999130249,0.5869488000869751
2358,Oakland Athletics,Houston Astros,1,0.5040346264839173,0.4959653735160828
7563,San Diego Padres,St. Louis Cardinals,0,0.3715578317642212,0.6284421682357788
2054,Los Angeles Dodgers,Cincinnati Reds,0,0.41466076374053956,0.5853392362594605
983,San Diego Padres,Los Angeles Angels,0,0.4086096167564392,0.5913903832435607
6704,Pittsburgh Pirates,Milwaukee Brewers,1,0.620741331577301,0.37925866842269895
101,Oakland Athletics,Los Angeles Angels,0,0.3748574495315552,0.6251425504684448
5008,San Diego Padres,Cincinnati Reds,1,0.3946871757507324,0.6053128242492676
437,Milwaukee Brewers,Cincinnati Reds,1,0.44308998584747317,0.5569100141525268
4796,Kansas City Royals,Cleveland Guardians,1,0.45951820015907285,0.5404817998409271
2331,Minnesota Twins,Oakland Athletics,0,0.47035232186317444,0.5296476781368256
6529,Atlanta Braves,Los Angeles Angels,1,0.43233777284622193,0.5676622271537781
729,New York Yankees,Tampa Bay Rays,0,0.36951844692230223,0.6304815530776977
4855,Tampa Bay Rays,Baltimore Orioles,1,0.3218848705291748,0.6781151294708252
323,San Francisco Giants,Texas Rangers,1,0.5692667782306671,0.4307332217693329
759,Minnesota Twins,Detroit Tigers,1,0.25757297277450564,0.7424270272254944
2486,Tampa Bay Rays,Kansas City Royals,1,0.18957606554031373,0.8104239344596863
2750,Tampa Bay Rays,Baltimore Orioles,1,0.3959206581115723,0.6040793418884277
2481,Pittsburgh Pirates,Chicago Cubs,0,0.5320074081420898,0.46799259185791015
6225,Minnesota Twins,Baltimore Orioles,1,0.20909698009490968,0.7909030199050904
7484,Milwaukee Brewers,New York Yankees,1,0.5653594374656677,0.43464056253433225
5746,Kansas City Royals,Houston Astros,0,0.558378005027771,0.441621994972229
6262,Cincinnati Reds,New York Mets,0,0.5576849579811096,0.4423150420188904
6794,Cleveland Guardians,Houston Astros,1,0.5775729894638062,0.42242701053619386
4709,Chicago Cubs,Seattle Mariners,1,0.4118943691253662,0.5881056308746337
991,Washington Nationals,Philadelphia Phillies,1,0.4740810334682465,0.5259189665317535
1340,Atlanta Braves,Boston Red Sox,0,0.47131922245025637,0.5286807775497436
4268,Colorado Rockies,Washington Nationals,1,0.39034017324447634,0.6096598267555237
3902,Washington Nationals,New York Mets,0,0.5398408055305481,0.4601591944694519
6927,San Francisco Giants,Pittsburgh Pirates,1,0.2923418879508972,0.7076581120491028
251,Houston Astros,Seattle Mariners,1,0.24878534078598022,0.7512146592140198
1622,Texas Rangers,San Diego Padres,0,0.4477904438972473,0.5522095561027527
4411,Atlanta Braves,Los Angeles Dodgers,1,0.5683322548866272,0.4316677451133728
6537,Baltimore Orioles,New York Yankees,1,0.6522990554571152,0.3477009445428848
2738,Tampa Bay Rays,Baltimore Orioles,1,0.22914122343063353,0.7708587765693664
658,Atlanta Braves,New York Yankees,1,0.4268690228462219,0.573130977153778
4437,Houston Astros,Atlanta Braves,0,0.8706282064318657,0.1293717935681343
2327,Arizona Diamondbacks,Washington Nationals,0,0.4123005509376526,0.5876994490623474
6242,Toronto Blue Jays,Tampa Bay Rays,0,0.4212628722190857,0.5787371277809144
4123,Washington Nationals,Colorado Rockies,0,0.49858461022377015,0.5014153897762299
7830,San Diego Padres,Philadelphia Phillies,0,0.42306272983551024,0.5769372701644897
3068,Cleveland Indians,Houston Astros,0,0.5630094170570373,0.43699058294296267
37,Houston Astros,Seattle Mariners,1,0.18746317625045777,0.8125368237495423
6648,San Diego Padres,Minnesota Twins,0,0.44712278842926023,0.5528772115707398
1227,Los Angeles Dodgers,Tampa Bay Rays,1,0.19555773735046386,0.8044422626495361
4720,Arizona Diamondbacks,San Diego Padres,1,0.488467800617218,0.5115321993827819
263,Oakland Athletics,Los Angeles Angels,1,0.5477245390415192,0.4522754609584808
2679,Oakland Athletics,Arizona Diamondbacks,1,0.25402470827102663,0.7459752917289734
3434,Arizona Diamondbacks,Los Angeles Dodgers,0,0.6946095764636994,0.30539042353630064
1037,Atlanta Braves,Boston Red Sox,0,0.3912068486213684,0.6087931513786315
6789,Oakland Athletics,San Francisco Giants,0,0.6584607303142548,0.3415392696857452
2643,San Diego Padres,New York Mets,0,0.467326295375824,0.5326737046241761
7825,San Diego Padres,Philadelphia Phillies,0,0.39174450635910035,0.6082554936408997
7112,Milwaukee Brewers,Chicago Cubs,0,0.44531824588775637,0.5546817541122436
3988,Chicago Cubs,Cincinnati Reds,1,0.48584404587745667,0.5141559541225433
2696,Oakland Athletics,Arizona Diamondbacks,1,0.22020328044891357,0.7797967195510864
7861,Houston Astros,Philadelphia Phillies,1,0.12844948768615722,0.8715505123138427
1876,Seattle Mariners,Los Angeles Dodgers,0,0.43324908018112185,0.5667509198188782
1490,San Diego Padres,Arizona Diamondbacks,0,0.46062794923782346,0.5393720507621765
7643,Los Angeles Angels,Oakland Athletics,1,0.38605071902275084,0.6139492809772491
2642,Los Angeles Angels,Seattle Mariners,0,0.3892022967338562,0.6107977032661438
1936,San Francisco Giants,Miami Marlins,1,0.42429375648498535,0.5757062435150146
1514,Oakland Athletics,Houston Astros,0,0.47131922245025637,0.5286807775497436
7567,Baltimore Orioles,Houston Astros,1,0.5785153627395629,0.421484637260437
2713,Arizona Diamondbacks,Los Angeles Angels,0,0.551552540063858,0.448447459936142
95,St. Louis Cardinals,Pittsburgh Pirates,1,0.3562851309776306,0.6437148690223694
6147,Atlanta Braves,Los Angeles Dodgers,0,0.4901490271091461,0.5098509728908539
6145,San Diego Padres,Philadelphia Phillies,0,0.4270224213600159,0.5729775786399841
6247,Washington Nationals,Miami Marlins,0,0.48569892048835756,0.5143010795116425
6943,Atlanta Braves,New York Mets,1,0.34803134202957153,0.6519686579704285
1993,Los Angeles Dodgers,San Diego Padres,0,0.3806392073631287,0.6193607926368714
132,Cincinnati Reds,Detroit Tigers,1,0.26031056642532346,0.7396894335746765
3545,Oakland Athletics,Texas Rangers,1,0.2343002438545227,0.7656997561454773
6151,St. Louis Cardinals,Miami Marlins,1,0.3923462748527527,0.6076537251472474
554,Arizona Diamondbacks,Oakland Athletics,1,0.600632393360138,0.39936760663986204
5768,Miami Marlins,San Francisco Giants,1,0.6096842050552368,0.3903157949447632
4390,Atlanta Braves,Milwaukee Brewers,1,0.5779223799705505,0.4220776200294495
1376,Tampa Bay Rays,Boston Red Sox,1,0.4748391628265381,0.525160837173462
7792,Toronto Blue Jays,Seattle Mariners,0,0.36874560117721555,0.6312543988227844
2635,Milwaukee Brewers,Arizona Diamondbacks,1,0.18407008647918702,0.815929913520813
