,id,game_date,season,home_team,away_team,home_score,away_score,home_is_winner,away_is_winner,game_type,away_Date,home_Current_win_pct,home_prev_win_pct,Rolling_10D_win_x,Rolling_30D_win_x,away_Current_win_pct,away_prev_win_pct,Rolling_10D_win_y,Rolling_30D_win_y,home_r_Current,home_r_prev,Rolling_10D_r_home,Rolling_30D_r_home,away_r_Current,away_r_prev,Rolling_10D_r_away,Rolling_30D_r_away,home_opp_Current,home_opp_prev,Rolling_10D_opp_home,Rolling_30D_opp_home,away_opp_Current,away_opp_prev,Rolling_10D_opp_away,Rolling_30D_opp_away,lowvig_home,lowvig_away,lowvig_home_prob,lowvig_away_prob,lowvig_home_vf,lowvig_away_vf
45099,5114,2022-05-12,2022,Minnesota Twins,Houston Astros,3,11,0,1,R,2022-05-12,0.73767258382643,0.39156626506024095,0.7893154077480984,0.6114584004640073,0.8027613412228797,0.792168674698795,0.7638422076773396,0.7273313140426632,0.6,0.42,0.5735,0.6112666666666666,0.583,0.561,0.6233,0.6194666666666666,0.472,0.457,0.46630000000000005,0.43510000000000004,0.457,0.5,0.4586,0.4288,119.0,-130.0,0.45662100456621,0.5652173913043478,0.446862249854284,0.5531377501457159
45104,5116,2022-05-12,2022,Minnesota Twins,Houston Astros,0,5,0,1,R,2022-05-12,0.73767258382643,0.39156626506024095,0.7893154077480984,0.6114584004640073,0.8027613412228797,0.792168674698795,0.7638422076773396,0.7273313140426632,0.6,0.42,0.5735,0.6112666666666666,0.583,0.561,0.6233,0.6194666666666666,0.472,0.457,0.46630000000000005,0.43510000000000004,0.457,0.5,0.4586,0.4288,119.0,-130.0,0.45662100456621,0.5652173913043478,0.446862249854284,0.5531377501457159
45105,5117,2022-05-12,2022,Pittsburgh Pirates,Cincinnati Reds,0,4,0,1,R,2022-05-12,0.40828402366863903,0.16867469879518068,0.4571024234919512,0.493845459818264,0.0,0.575301204819277,0.0,0.0,0.5,0.669,0.5709000000000001,0.5764333333333335,0.216,0.37,0.5252,0.5455,0.457,0.407,0.43520000000000003,0.4466333333333333,0.528,0.546,0.3614,0.36643333333333333,-133.0,124.0,0.5708154506437768,0.44642857142857145,0.5611391546749039,0.4388608453250961
45106,5118,2022-05-12,2022,Texas Rangers,Kansas City Royals,3,1,1,0,R,2022-05-12,0.37080867850098614,0.14759036144578308,0.44312754289757667,0.2765354127730877,0.25838264299802755,0.40963855421686746,0.33504333981956486,0.36837017464716126,0.784,0.524,0.44939999999999997,0.4299666666666667,0.528,0.482,0.5497,0.5699333333333333,0.487,0.426,0.5638,0.6166333333333334,0.27,0.401,0.3058,0.33673333333333333,-128.0,118.0,0.5614035087719298,0.45871559633027525,0.5503313348059325,0.4496686651940676
45108,5120,2022-05-12,2022,Los Angeles Dodgers,Philadelphia Phillies,7,9,0,1,R,2022-05-12,0.9151873767258382,0.9728915662650602,0.9561294887670264,1.0,0.4457593688362919,0.5572289156626505,0.49814257916150717,0.4890120512985759,0.472,0.618,0.4753,0.4471333333333334,0.405,0.42,0.36679999999999996,0.419,0.784,0.524,0.7081,0.6849333333333333,0.568,0.482,0.5785,0.5564333333333332,-145.0,133.0,0.5918367346938775,0.4291845493562232,0.5796517114180321,0.42034828858196793
45109,5121,2022-05-13,2022,Pittsburgh Pirates,Cincinnati Reds,2,8,0,1,R,2022-05-13,0.34349593495934955,0.16867469879518068,0.4474918801876578,0.5041050903119869,0.0,0.575301204819277,0.0,0.0,0.579,0.482,0.5771,0.5790666666666666,0.444,0.5,0.516,0.5512,0.444,0.5,0.4367,0.44930000000000003,0.514,0.669,0.38520000000000004,0.35023333333333334,-112.0,103.0,0.5283018867924528,0.49261083743842365,0.5174799708667153,0.4825200291332848
45110,5122,2022-05-13,2022,Miami Marlins,Milwaukee Brewers,1,2,0,1,R,2022-05-13,0.4105691056910569,0.2801204819277107,0.5395164200649584,0.5278514588859416,0.7621951219512195,0.7740963855421685,0.8841573439191629,0.8233548061134266,0.5,0.426,0.6685000000000001,0.6305333333333333,0.487,0.551,0.4713,0.5592333333333334,0.526,0.451,0.4984,0.4540666666666667,0.611,0.42,0.6693,0.4751666666666666,126.0,-135.0,0.4424778761061947,0.574468085106383,0.43510461025735975,0.5648953897426403
45111,5123,2022-05-13,2022,Washington Nationals,Houston Astros,1,6,0,1,R,2022-05-13,0.16869918699186995,0.24096385542168677,0.3006134969325153,0.3315649867374005,0.8252032520325204,0.792168674698795,0.7827499097798629,0.7131489200454717,0.211,0.37,0.37829999999999997,0.5662666666666667,0.514,0.546,0.6104,0.6244666666666667,0.514,0.546,0.4553,0.44283333333333336,0.5,0.426,0.4622,0.42726666666666674,140.0,-152.0,0.4166666666666667,0.6031746031746031,0.40856031128404674,0.5914396887159533
45112,5124,2022-05-13,2022,Detroit Tigers,Baltimore Orioles,4,2,1,0,R,2022-05-13,0.06300813008130086,0.46385542168674687,0.25081198123421145,0.3496905393457118,0.3821138211382114,0.0,0.40418621436304575,0.30592396109637493,0.568,0.561,0.5645999999999999,0.5813333333333334,0.541,0.531,0.5518000000000001,0.5730000000000001,0.211,0.37,0.32510000000000006,0.3465,0.342,0.5,0.373,0.35390000000000005,-143.0,132.0,0.588477366255144,0.43103448275862066,0.5772148374973902,0.4227851625026098
45113,5125,2022-05-13,2022,New York Mets,Seattle Mariners,1,2,0,1,R,2022-05-13,0.8475609756097562,0.46385542168674687,0.9067123782028149,0.9791587722622203,0.3821138211382114,0.707831325301205,0.5086611331649225,0.6268788682581786,0.432,0.34,0.3916,0.3632333333333333,0.676,0.615,0.5374,0.4842666666666666,0.553,0.383,0.5761,0.6006,0.487,0.551,0.5117,0.5457666666666667,-208.0,192.0,0.6753246753246753,0.3424657534246575,0.663520363572802,0.336479636427198
45114,5126,2022-05-13,2022,Tampa Bay Rays,Toronto Blue Jays,5,2,1,0,R,2022-05-13,0.6991869918699186,0.8644578313253011,0.7859978347167087,0.7268536061639509,0.5711382113821138,0.7259036144578315,0.7264525442078671,0.8074396867500314,0.342,0.567,0.3262,0.3527666666666667,0.649,0.512,0.6287,0.5248,0.541,0.457,0.5587,0.5550333333333334,0.472,0.407,0.46500000000000014,0.4802666666666667,115.0,-125.0,0.46511627906976744,0.5555555555555556,0.45569620253164556,0.5443037974683544
45115,5127,2022-05-13,2022,Atlanta Braves,San Diego Padres,6,11,0,1,R,2022-05-13,0.44512195121951215,0.7168674698795182,0.5064958498736917,0.5019578123026398,0.7621951219512195,0.503012048192771,0.8542042583904728,0.8368068712896299,0.526,0.451,0.5673,0.5295333333333333,0.29,0.401,0.36429999999999996,0.4355333333333334,0.487,0.618,0.453,0.4857666666666666,0.541,0.482,0.5782,0.5650666666666667,-145.0,135.0,0.5918367346938775,0.425531914893617,0.5817328211694409,0.41826717883055914
45116,5128,2022-05-13,2022,Texas Rangers,Boston Red Sox,1,7,0,1,R,2022-05-13,0.3719512195121951,0.14759036144578308,0.44388307470227345,0.2951875710496401,0.21341463414634143,0.7409638554216865,0.3592565860700109,0.47139067828723,0.514,0.669,0.44909999999999994,0.43193333333333334,0.541,0.457,0.5856000000000001,0.5514333333333333,0.487,0.457,0.5572999999999999,0.6116666666666667,0.342,0.567,0.3499,0.45186666666666664,-106.0,-103.0,0.5145631067961165,0.5073891625615764,0.5035099213777612,0.49649007862223893
45117,5129,2022-05-13,2022,Minnesota Twins,Cleveland Guardians,12,8,1,0,R,2022-05-13,0.6361788617886178,0.39156626506024095,0.776254059906171,0.6189844638120501,0.508130081300813,0.5210843373493975,0.5714543486106098,0.5821649614753063,0.605,0.675,0.5823,0.6132333333333333,0.46,0.568,0.4495,0.4126333333333333,0.46,0.568,0.45870000000000005,0.4437666666666667,0.579,0.482,0.6148,0.6329666666666667,-156.0,144.0,0.609375,0.4098360655737705,0.5978889168132696,0.40211108318673033
45120,5132,2022-05-13,2022,Colorado Rockies,Kansas City Royals,10,14,0,1,R,2022-05-13,0.540650406504065,0.4186746987951807,0.7038975099242151,0.8316281419729697,0.19308943089430888,0.40963855421686746,0.3233489714904366,0.36699507389162556,0.342,0.5,0.3714,0.3723666666666667,0.541,0.482,0.5431000000000001,0.5667666666666666,0.541,0.531,0.5900000000000001,0.5984999999999999,0.29,0.401,0.31070000000000003,0.3312333333333333,-135.0,125.0,0.574468085106383,0.4444444444444444,0.5638051044083527,0.4361948955916473
45121,5133,2022-05-13,2022,Arizona Diamondbacks,Chicago Cubs,4,3,1,0,R,2022-05-13,0.5711382113821138,0.0,0.6232407073258752,0.45743337122647465,0.23780487804878048,0.3524096385542168,0.34752796824251164,0.4994947581154478,0.553,0.383,0.5742999999999999,0.5639666666666667,0.763,0.524,0.6305,0.4630666666666667,0.421,0.42,0.41819999999999996,0.33676666666666666,0.487,0.548,0.5254000000000001,0.5842333333333333,-120.0,110.0,0.5454545454545454,0.47619047619047616,0.5338983050847457,0.4661016949152542
45122,5134,2022-05-13,2022,Oakland Athletics,Los Angeles Angels,0,2,0,1,R,2022-05-13,0.35365853658536583,0.6325301204819277,0.40057740887766136,0.5638499431602879,0.7845528455284553,0.46385542168674687,0.8318296643810897,0.7967032967032965,0.553,0.597,0.5906,0.5179,0.487,0.548,0.41000000000000003,0.4250333333333333,0.417,0.383,0.4042,0.5114,0.649,0.512,0.6058,0.6069333333333333,129.0,-139.0,0.4366812227074236,0.5815899581589958,0.4288457052627801,0.5711542947372198
45123,5135,2022-05-13,2022,Los Angeles Dodgers,Philadelphia Phillies,10,12,0,1,R,2022-05-13,0.8475609756097562,0.9728915662650602,0.9547094911584265,1.0,0.44512195121951215,0.5572289156626505,0.48592565860700104,0.48042187697360106,0.487,0.618,0.4723,0.4567,0.417,0.383,0.3678,0.4117,0.763,0.524,0.7051000000000001,0.6921666666666667,0.568,0.561,0.571,0.5602,-208.0,192.0,0.6753246753246753,0.3424657534246575,0.663520363572802,0.336479636427198
45125,5137,2022-05-14,2022,Atlanta Braves,San Diego Padres,6,5,1,0,R,2022-05-14,0.38155136268343814,0.7168674698795182,0.49935173180218545,0.5040466779597215,0.7610062893081762,0.503012048192771,0.8473791442859788,0.839136708701926,0.5,0.546,0.5494,0.5310333333333334,0.432,0.34,0.3592,0.42569999999999997,0.5,0.426,0.4547,0.4812333333333333,0.553,0.482,0.5656000000000001,0.5696,-123.0,114.0,0.5515695067264574,0.4672897196261682,0.5413598782444161,0.45864012175558383
45129,5138,2022-05-14,2022,Oakland Athletics,Los Angeles Angels,4,3,1,0,R,2022-05-14,0.29140461215932906,0.6325301204819277,0.3837747731061308,0.5583788192483844,0.7840670859538784,0.46385542168674687,0.8360807556954991,0.8044419348767174,0.526,0.457,0.5639,0.5215333333333334,0.472,0.407,0.42960000000000004,0.4207666666666666,0.205,0.37,0.3747,0.49599999999999994,0.579,0.482,0.6104,0.6110666666666666,105.0,-115.0,0.4878048780487805,0.5348837209302325,0.47698280643372154,0.5230171935662784
45133,5139,2022-05-14,2022,Oakland Athletics,Los Angeles Angels,1,9,0,1,R,2022-05-14,0.29140461215932906,0.6325301204819277,0.3837747731061308,0.5583788192483844,0.7840670859538784,0.46385542168674687,0.8360807556954991,0.8044419348767174,0.526,0.457,0.5639,0.5215333333333334,0.472,0.407,0.42960000000000004,0.4207666666666666,0.205,0.37,0.3747,0.49599999999999994,0.579,0.482,0.6104,0.6110666666666666,105.0,-115.0,0.4878048780487805,0.5348837209302325,0.47698280643372154,0.5230171935662784
45134,5140,2022-05-14,2022,Detroit Tigers,Baltimore Orioles,3,0,1,0,R,2022-05-14,0.06289308176100623,0.46385542168674687,0.22541211335432487,0.34926908839952314,0.3165618448637316,0.0,0.4052602333765513,0.323796975970889,0.553,0.383,0.5647,0.5831000000000001,0.526,0.451,0.5492,0.5693333333333334,0.5,0.546,0.34060000000000007,0.35206666666666664,0.308,0.401,0.3762,0.3520333333333333,-115.0,105.0,0.5348837209302325,0.4878048780487805,0.5230171935662784,0.47698280643372154
45135,5141,2022-05-14,2022,Tampa Bay Rays,Toronto Blue Jays,1,5,0,1,R,2022-05-14,0.6981132075471698,0.8644578313253011,0.7845897388405261,0.7220026350461132,0.5073375262054507,0.7259036144578315,0.7034636043711798,0.7963485789572745,0.308,0.401,0.32599999999999996,0.35636666666666666,0.579,0.482,0.6176,0.5357666666666667,0.526,0.457,0.5561,0.5531333333333334,0.46,0.5,0.461,0.4761666666666667,-116.0,106.0,0.5370370370370371,0.4854368932038835,0.525232987515386,0.47476701248461406
45136,5142,2022-05-14,2022,Miami Marlins,Milwaukee Brewers,9,3,1,0,R,2022-05-14,0.34591194968553457,0.2801204819277107,0.5117614373032044,0.5430704561139343,0.7610062893081762,0.7740963855421685,0.8753472865345434,0.8302277432712216,0.5,0.426,0.6649,0.6277666666666666,0.46,0.5,0.46399999999999997,0.5551333333333334,0.487,0.457,0.49540000000000006,0.4619666666666667,0.568,0.561,0.6618,0.483,120.0,-130.0,0.45454545454545453,0.5652173913043478,0.44573643410852715,0.5542635658914729
45137,5143,2022-05-14,2022,Pittsburgh Pirates,Cincinnati Reds,3,1,1,0,R,2022-05-14,0.2788259958071279,0.16867469879518068,0.4323022781996666,0.5049250266641571,0.0,0.575301204819277,0.0,0.0,0.553,0.482,0.5703,0.5763,0.487,0.457,0.5039999999999999,0.5613666666666667,0.421,0.42,0.43739999999999996,0.45,0.514,0.669,0.4125,0.34793333333333337,102.0,-112.0,0.49504950495049505,0.5283018867924528,0.4837531945965681,0.5162468054034319
45138,5144,2022-05-14,2022,Washington Nationals,Houston Astros,13,6,1,0,R,2022-05-14,0.10691823899371067,0.24096385542168677,0.2754213743285794,0.3265575004705439,0.8259958071278827,0.792168674698795,0.8001481755880719,0.7122153209109731,0.514,0.669,0.409,0.5622,0.432,0.383,0.5892999999999999,0.6055333333333334,0.487,0.548,0.4833,0.44516666666666665,0.676,0.615,0.4869,0.43766666666666665,153.0,-167.0,0.3952569169960474,0.6254681647940075,0.38723151223332514,0.6127684877666749
45139,5145,2022-05-14,2022,Texas Rangers,Boston Red Sox,3,11,0,1,R,2022-05-14,0.30607966457023056,0.14759036144578308,0.43433969253565463,0.31074722379070197,0.21383647798742134,0.7409638554216865,0.3345063900722356,0.46420729029424684,0.622,0.42,0.4756,0.4387666666666667,0.541,0.531,0.5742,0.5555666666666668,0.472,0.407,0.5478000000000001,0.6062,0.342,0.567,0.3448,0.44206666666666666,-111.0,101.0,0.5260663507109005,0.4975124378109453,0.513948077676165,0.486051922323835
45140,5146,2022-05-14,2022,New York Mets,Seattle Mariners,5,4,1,0,R,2022-05-14,0.7840670859538784,0.46385542168674687,0.8959066493795149,0.9722692766171026,0.38155136268343814,0.707831325301205,0.48731246527134653,0.6341677646025472,0.342,0.567,0.3888,0.3635333333333333,0.605,0.675,0.5446000000000001,0.48500000000000004,0.539,0.597,0.5714,0.5985666666666666,0.46,0.568,0.5025,0.5544333333333334,-154.0,143.0,0.6062992125984252,0.411522633744856,0.5956830409729075,0.40431695902709236
