,id,game_date,season,home_team,away_team,home_is_winner,lowvig_home,lowvig_away,bovada_home,bovada_away,betonlineag_home,betonlineag_away,unibet_home,unibet_away,sport888_home,sport888_away,draftkings_home,draftkings_away,pinnacle_home,pinnacle_away,mybookieag_home,mybookieag_away,lowvig_home_brier,bovada_home_brier,betonlineag_home_brier,unibet_home_brier,sport888_home_brier,draftkings_home_brier,pinnacle_home_brier,mybookieag_home_brier,lowvig_away_brier,bovada_away_brier,betonlineag_away_brier,unibet_away_brier,sport888_away_brier,draftkings_away_brier,pinnacle_away_brier,mybookieag_away_brier
1924,1995,2021-04-16,2021,Cincinnati Reds,Cleveland Indians,1,0.5192307692307693,0.504950495049505,0.5327102803738317,0.5145631067961165,0.5260663507109005,0.5,0.5348837209302325,0.5073891625615764,0.5283018867924528,0.504950495049505,0.5327102803738317,0.5073891625615764,0.5260663507109005,0.49504950495049505,0.5348837209302325,0.5121951219512195,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1926,1996,2021-04-16,2021,Miami Marlins,San Francisco Giants,1,0.43859649122807015,0.5780590717299579,0.45454545454545453,0.5850622406639004,0.44052863436123346,0.5815899581589958,0.4444444444444444,0.5951417004048583,0.4444444444444444,0.5951417004048583,0.4444444444444444,0.5951417004048583,0.44052863436123346,0.5815899581589958,0.4444444444444444,0.5918367346938775,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1928,1997,2021-04-16,2021,Texas Rangers,Baltimore Orioles,0,0.5412844036697247,0.4807692307692308,0.5515695067264574,0.49261083743842365,0.54337899543379,0.4807692307692308,0.5780590717299579,0.47619047619047616,0.5594713656387665,0.47619047619047616,0.5594713656387665,0.47619047619047616,0.5370370370370371,0.4830917874396135,0.5555555555555556,0.4878048780487805,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1930,1998,2021-04-16,2021,Milwaukee Brewers,Pittsburgh Pirates,0,0.588477366255144,0.43103448275862066,0.6062992125984252,0.425531914893617,0.5918367346938775,0.4329004329004329,0.6138996138996139,0.425531914893617,0.6138996138996139,0.425531914893617,0.6138996138996139,0.425531914893617,0.5918367346938775,0.42735042735042733,0.5983935742971888,0.43478260869565216,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1933,2000,2021-04-16,2021,Oakland Athletics,Detroit Tigers,1,0.6282527881040892,0.38910505836575876,0.6453900709219859,0.38910505836575876,0.6323529411764706,0.38910505836575876,0.6575342465753424,0.39215686274509803,0.6453900709219859,0.39215686274509803,0.6453900709219859,0.39215686274509803,0.6415770609318996,0.3816793893129771,0.6491228070175439,0.39215686274509803,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1935,2001,2021-04-16,2021,San Diego Padres,Los Angeles Dodgers,0,0.4149377593360996,0.6062992125984252,0.4219409282700422,0.609375,0.4149377593360996,0.6062992125984252,0.425531914893617,0.6168582375478927,0.42016806722689076,0.6138996138996139,0.42016806722689076,0.6138996138996139,0.4132231404958678,0.6062992125984252,0.425531914893617,0.6168582375478927,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1937,2002,2021-04-16,2021,Seattle Mariners,Houston Astros,1,0.5,0.5238095238095238,0.5,0.5454545454545454,0.5,0.5260663507109005,0.5,0.5412844036697247,0.5,0.5412844036697247,0.5,0.5412844036697247,0.504950495049505,0.5145631067961165,0.5121951219512195,0.5348837209302325,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1977,2023,2021-04-18,2021,Washington Nationals,Arizona Diamondbacks,0,0.6491228070175439,0.36900369003690037,0.6666666666666666,0.37037037037037035,0.6539792387543253,0.36900369003690037,0.6845425867507886,0.36363636363636365,0.6710526315789473,0.36363636363636365,0.6710526315789473,0.36363636363636365,0.6539792387543253,0.36764705882352944,0.6621621621621622,0.37735849056603776,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1978,2024,2021-04-18,2021,Philadelphia Phillies,St. Louis Cardinals,1,0.6363636363636364,0.3816793893129771,0.6415770609318996,0.3937007874015748,0.6415770609318996,0.3816793893129771,0.6666666666666666,0.39215686274509803,0.6453900709219859,0.39215686274509803,0.6453900709219859,0.39215686274509803,0.6415770609318996,0.3787878787878788,0.6539792387543253,0.38461538461538464,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
1979,2025,2021-04-18,2021,New York Yankees,Tampa Bay Rays,0,0.6941896024464832,0.3246753246753247,0.7041420118343196,0.32786885245901637,0.6996996996996997,0.3246753246753247,0.7297297297297297,0.3225806451612903,0.7142857142857143,0.3225806451612903,0.7142857142857143,0.3225806451612903,0.7041420118343196,0.3194888178913738,0.7191011235955056,0.32786885245901637,0.6440972309074754,0.20977706697157208,0.41346809714169086,0.3837935483661373,0.8110660176404901,-0.09744317432530102,0.18866285022798093,-2.5534216369293077,-0.1703088734539573,-2.1597549386260186,0.15399383495061353,0.9550870153028816,-0.37296707373175303,-0.4226216360283203,0.9094070057788879,1.1071646658078473
