,median,mean,range
463,-8.5,-8.378378378378379,290.0
464,-8.5,-8.35135135135135,270.0
465,-8.5,-8.35135135135135,270.0
466,-8.5,-9.027027027027026,334.0
467,-7.0,-7.9324324324324325,253.0
468,-110.5,-16.27027027027027,263.0
469,-110.0,-16.364864864864863,243.0
470,-8.5,-9.08108108108108,311.0
471,-8.5,-9.54054054054054,336.0
472,-8.5,-8.378378378378379,275.0
473,-8.5,-8.378378378378379,275.0
474,-107.0,-53.87837837837838,243.0
475,-107.0,-53.87837837837838,243.0
476,-8.5,-8.162162162162161,255.0
477,-108.0,-43.04054054054054,243.0
478,-108.0,-43.04054054054054,243.0
479,-8.5,-9.108108108108109,319.0
480,-8.5,-9.837837837837839,354.0
481,-8.5,-10.08108108108108,347.0
482,-8.5,-9.891891891891891,361.0
483,-8.5,-8.945945945945946,307.0
484,-8.5,-8.18918918918919,245.0
485,-8.5,-8.27027027027027,275.0
486,-8.5,-9.567567567567568,336.0
487,-108.0,-53.82432432432432,243.0
488,-8.5,-10.08108108108108,384.0
489,-8.5,-9.837837837837839,347.0
491,-8.5,-9.945945945945946,342.0
492,-8.5,-9.945945945945946,342.0
493,-8.5,-8.135135135135135,251.0
494,-8.5,-10.891891891891891,399.0
495,-8.5,-10.891891891891891,399.0
496,-8.5,-9.54054054054054,329.0
497,-8.5,-8.216216216216216,259.0
498,-8.5,-10.756756756756756,388.0
499,-8.5,-10.756756756756756,388.0
500,-107.0,-42.95945945945946,243.0
501,-107.0,-42.95945945945946,243.0
502,-8.5,-9.486486486486486,336.0
503,-8.5,-9.891891891891891,357.0
504,-8.5,-11.486486486486486,412.0
505,-8.5,-11.486486486486486,412.0
506,-8.5,-9.0,319.0
507,-8.5,-9.0,319.0
508,-8.5,-10.243243243243244,378.0
509,-8.5,-8.91891891891892,307.0
510,-8.5,-8.91891891891892,307.0
511,-122.5,-5417.243243243243,100162.0
513,-8.5,-8.432432432432432,293.0
514,-8.5,-8.35135135135135,262.0
515,-8.5,-9.64864864864865,379.0
516,-8.5,-8.45945945945946,263.0
517,-8.5,-8.54054054054054,277.0
518,-8.5,-11.08108108108108,454.0
519,-8.5,-8.54054054054054,291.0
520,-8.5,-8.54054054054054,291.0
521,-8.5,-8.27027027027027,255.0
522,-8.5,-8.27027027027027,255.0
523,-8.5,-9.81081081081081,354.0
524,-8.5,-9.81081081081081,354.0
525,-105.5,-32.4054054054054,245.0
526,-8.5,-8.432432432432432,277.0
527,-8.5,-8.567567567567568,279.0
528,-8.5,-8.54054054054054,296.0
529,-8.5,-9.216216216216216,402.0
530,-8.5,-8.621621621621621,285.0
531,-8.5,-8.81081081081081,314.0
532,-8.5,-8.81081081081081,314.0
533,-8.5,-15.837837837837839,565.0
534,-8.5,-15.837837837837839,565.0
535,-8.5,-8.837837837837839,317.0
536,-8.5,-8.45945945945946,248.0
537,-8.5,-8.45945945945946,248.0
538,-108.0,-53.986486486486484,243.0
539,-8.5,-10.72972972972973,393.0
540,-8.5,-8.08108108108108,246.0
541,-8.5,-9.162162162162161,329.0
542,-9.0,-8.067567567567568,243.0
543,-8.5,-8.405405405405405,266.0
544,-8.5,-9.81081081081081,339.0
545,-8.5,-11.297297297297296,410.0
546,-8.5,-11.297297297297296,410.0
547,-8.5,-12.405405405405405,454.0
548,-8.5,-12.405405405405405,454.0
549,-8.5,-13.837837837837839,500.0
550,-8.5,-13.837837837837839,500.0
551,-8.5,-9.64864864864865,350.0
552,-8.5,-9.64864864864865,350.0
553,-8.5,-8.756756756756756,316.0
554,-8.5,-8.756756756756756,316.0
555,-8.5,-8.945945945945946,322.0
556,-8.5,-8.945945945945946,322.0
557,-7.0,-7.905405405405405,249.0
558,-8.5,-9.45945945945946,334.0
560,-8.5,-11.972972972972974,444.0
561,-8.5,-8.243243243243244,274.0
562,-107.5,-37.67567567567568,245.0
563,-8.5,-12.243243243243244,483.0
564,-8.5,-12.243243243243244,483.0
565,-8.5,-9.702702702702704,336.0
566,-8.5,-10.162162162162161,370.0
567,-8.5,-8.432432432432432,277.0
568,-8.5,-13.567567567567568,483.0
569,-8.5,-9.891891891891891,343.0
570,-8.5,-9.891891891891891,343.0
571,-108.0,-26.905405405405407,243.0
572,-108.0,-26.905405405405407,243.0
573,-8.5,-8.18918918918919,255.0
574,-8.5,-8.18918918918919,255.0
575,-8.5,-10.27027027027027,365.0
576,-8.5,-13.567567567567568,491.0
577,-8.5,-13.567567567567568,491.0
578,-8.5,-9.0,304.0
579,-8.5,-8.837837837837839,317.0
580,-8.5,-8.405405405405405,284.0
581,-8.5,-10.027027027027026,354.0
582,-107.0,-53.82432432432432,243.0
583,-8.5,-8.594594594594595,304.0
584,-8.5,-8.594594594594595,304.0
585,-8.0,-7.986486486486487,243.0
586,-108.0,-37.58108108108108,243.0
587,-108.0,-37.58108108108108,243.0
588,-8.5,-12.675675675675675,465.0
589,-108.5,-32.270270270270274,243.0
590,-8.5,-11.513513513513514,417.0
591,-106.5,-26.783783783783782,243.0
592,-107.5,-21.405405405405407,243.0
593,-8.5,-9.27027027027027,325.0
594,-8.5,-9.64864864864865,342.0
595,-106.5,-16.10810810810811,243.0
596,-8.5,-8.891891891891891,314.0
597,-8.5,-8.891891891891891,314.0
598,-107.5,-16.135135135135137,243.0
599,-7.0,-7.878378378378378,243.0
600,-7.0,-7.878378378378378,243.0
601,-7.5,-8.027027027027026,245.0
602,-7.5,-8.027027027027026,245.0
603,-8.5,-8.35135135135135,277.0
604,-8.5,-8.35135135135135,277.0
605,-8.5,-8.513513513513514,278.0
606,-8.5,-8.513513513513514,278.0
607,-8.5,-12.27027027027027,438.0
608,-8.5,-12.27027027027027,438.0
609,-8.5,-8.945945945945946,312.0
610,-8.5,-8.945945945945946,312.0
611,-8.5,-8.45945945945946,268.0
612,-8.5,-8.45945945945946,268.0
613,-8.5,-9.18918918918919,336.0
614,-8.5,-8.27027027027027,248.0
615,-8.5,-13.08108108108108,500.0
616,-7.5,-8.08108108108108,247.0
617,-8.5,-8.135135135135135,245.0
618,-109.0,-15.986486486486486,245.0
619,-109.0,-15.986486486486486,245.0
620,-8.5,-8.162162162162161,256.0
621,-8.5,-8.162162162162161,256.0
622,-8.5,-12.297297297297296,433.0
623,-8.5,-12.297297297297296,433.0
624,-8.5,-8.243243243243244,250.0
625,-8.5,-8.243243243243244,250.0
626,-8.5,-8.756756756756756,320.0
627,-8.5,-9.35135135135135,349.0
