,id,game_date,season,home_team,away_team,home_is_winner,lowvig_home,lowvig_away,bovada_home,bovada_away,betonlineag_home,betonlineag_away,unibet_home,unibet_away,sport888_home,sport888_away,draftkings_home,draftkings_away,pinnacle_home,pinnacle_away,mybookieag_home,mybookieag_away,lowvig_home_prob,bovada_home_prob,betonlineag_home_prob,unibet_home_prob,sport888_home_prob,draftkings_home_prob,pinnacle_home_prob,mybookieag_home_prob,lowvig_away_prob,bovada_away_prob,betonlineag_away_prob,unibet_away_prob,sport888_away_prob,draftkings_away_prob,pinnacle_away_prob,mybookieag_away_prob,lowvig_home_prob_norm,bovada_home_prob_norm,betonlineag_home_prob_norm,unibet_home_prob_norm,sport888_home_prob_norm,draftkings_home_prob_norm,pinnacle_home_prob_norm,mybookieag_home_prob_norm,lowvig_away_prob_norm,bovada_away_prob_norm,betonlineag_away_prob_norm,unibet_away_prob_norm,sport888_away_prob_norm,draftkings_away_prob_norm,pinnacle_away_prob_norm,mybookieag_away_prob_norm
11370,3911,2021-09-05,2021,Boston Red Sox,Cleveland Indians,0,-139.0,129.0,-141.0,120.0,-141.0,129.0,-143.0,120.0,-143.0,120.0,-141.0,120.0,-139.0,128.0,-141.0,120.0,0.5815899581589958,0.5850622406639004,0.5850622406639004,0.588477366255144,0.588477366255144,0.5850622406639004,0.5815899581589958,0.5850622406639004,0.4366812227074236,0.45454545454545453,0.4366812227074236,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.43859649122807015,0.45454545454545453,0.5552623370822092,0.5548867019389472,0.564331726726773,0.5470364597507772,0.555688496811394,0.5377653739974574,0.5667118369022053,0.5466995042354063,0.43484362001049104,0.4490022172949002,0.429297304728982,0.45406698564593306,0.45406698564593306,0.44848484848484843,0.43208834196982315,0.4543180681249715
11374,3912,2021-09-05,2021,Cincinnati Reds,Detroit Tigers,0,-227.0,204.0,-233.0,195.0,-227.0,204.0,-227.0,185.0,-227.0,185.0,-238.0,195.0,-227.0,203.0,-244.0,195.0,0.6941896024464832,0.6996996996996997,0.6941896024464832,0.6941896024464832,0.6941896024464832,0.7041420118343196,0.6941896024464832,0.7093023255813954,0.32894736842105265,0.3389830508474576,0.32894736842105265,0.3508771929824561,0.3508771929824561,0.3389830508474576,0.33003300330033003,0.3389830508474576,0.8493657248221311,0.8511755249673465,0.8493657248221311,0.830701157667016,0.8339349275580288,0.8460745771236413,0.8631105187790276,0.8737133053755243,0.14824024483550113,0.1488218272013228,0.14634947974793716,0.1752539242843952,0.1752539242843952,0.1415036940460669,0.14583296107834157,0.15058376645950086
11378,3913,2021-09-05,2021,Tampa Bay Rays,Minnesota Twins,0,-200.0,185.0,-204.0,175.0,-204.0,185.0,-213.0,175.0,-213.0,175.0,-208.0,175.0,-196.0,179.0,-208.0,175.0,0.6666666666666666,0.6710526315789473,0.6710526315789473,0.6805111821086262,0.6805111821086262,0.6753246753246753,0.6621621621621622,0.6753246753246753,0.3508771929824561,0.36363636363636365,0.3508771929824561,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.35842293906810035,0.36363636363636365,0.7774774990234297,0.77713510076306,0.7889333712632812,0.7939969395660329,0.7979317951451255,0.7714636674100815,0.7788039373130656,0.7842803291212163,0.20657995409334343,0.21286031042128606,0.20394508145518972,0.2095693779904307,0.2095693779904307,0.20699300699300704,0.22069028218888817,0.215380417481468
11384,3915,2021-09-05,2021,Kansas City Royals,Chicago White Sox,1,154.0,-167.0,147.0,-172.0,154.0,-169.0,135.0,-159.0,135.0,-159.0,150.0,-169.0,155.0,-169.0,145.0,-169.0,0.3937007874015748,0.4048582995951417,0.3937007874015748,0.425531914893617,0.425531914893617,0.4,0.39215686274509803,0.40816326530612246,0.6254681647940075,0.6323529411764706,0.6282527881040892,0.6138996138996139,0.6138996138996139,0.6282527881040892,0.6282527881040892,0.6282527881040892,0.0645073085999137,0.08913655313577054,0.0645073085999137,0.10979405619750135,0.12679784156425034,0.05862108788543711,0.06806266141129257,0.08108161297305803,0.9370717742836755,0.9108680057388809,0.9324330935323517,0.8826458036984354,0.8826458036984354,0.9099227909636832,0.9321656380939886,0.9108755121054951
11386,3916,2021-09-05,2021,Milwaukee Brewers,St. Louis Cardinals,1,-244.0,221.0,-250.0,210.0,-250.0,221.0,-263.0,210.0,-250.0,210.0,-263.0,210.0,-256.0,228.0,-263.0,210.0,0.7093023255813954,0.7142857142857143,0.7142857142857143,0.7245179063360881,0.7142857142857143,0.7245179063360881,0.7191011235955056,0.7245179063360881,0.3115264797507788,0.3225806451612903,0.3115264797507788,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3048780487804878,0.3225806451612903,0.8888392338201262,0.888874137015401,0.901855540484675,0.9120831194068578,0.8868301418928227,0.8988297658099965,0.9286856995785759,0.9137624159540526,0.10189561598581315,0.10621557828481507,0.10059596437301667,0.09915110356536505,0.09915110356536505,0.0979321753515302,0.07950549477421777,0.10747309138440182
11390,3917,2021-09-05,2021,Chicago Cubs,Pittsburgh Pirates,1,-145.0,134.0,-145.0,125.0,-145.0,134.0,-149.0,125.0,-147.0,128.0,-149.0,130.0,-145.0,133.0,-149.0,130.0,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5983935742971888,0.5951417004048583,0.5983935742971888,0.5918367346938775,0.5983935742971888,0.42735042735042733,0.4444444444444444,0.42735042735042733,0.4444444444444444,0.43859649122807015,0.43478260869565216,0.4291845493562232,0.43478260869565216,0.5820262910129015,0.5723958728472802,0.5820262910129015,0.5736452825329373,0.5732297697734432,0.5722815038882867,0.5936846668577861,0.581789065616371,0.41002099150530663,0.4227642276422764,0.40479128228048117,0.4269005847953216,0.41117266851338874,0.3959866220735786,0.4072713518667849,0.40237510059377507
11394,3918,2021-09-05,2021,Colorado Rockies,Atlanta Braves,0,171.0,-185.0,170.0,-200.0,171.0,-189.0,160.0,-192.0,165.0,-192.0,165.0,-196.0,173.0,-189.0,165.0,-196.0,0.36900369003690037,0.37037037037037035,0.36900369003690037,0.38461538461538464,0.37735849056603776,0.37735849056603776,0.3663003663003663,0.37735849056603776,0.6491228070175439,0.6666666666666666,0.6539792387543253,0.6575342465753424,0.6575342465753424,0.6621621621621622,0.6539792387543253,0.6621621621621622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11402,3920,2021-09-05,2021,San Diego Padres,Houston Astros,1,100.0,-110.0,-105.0,-115.0,100.0,-111.0,-102.0,-116.0,100.0,-115.0,-105.0,-115.0,101.0,-109.0,-105.0,-115.0,0.5,0.5121951219512195,0.5,0.504950495049505,0.5,0.5121951219512195,0.4975124378109453,0.5121951219512195,0.5238095238095238,0.5348837209302325,0.5260663507109005,0.5370370370370371,0.5348837209302325,0.5348837209302325,0.5215311004784688,0.5348837209302325,0.34215435390907134,0.3665563514371204,0.34215435390907134,0.3229032322069882,0.3228061716489874,0.3491052591551438,0.3453926101468577,0.35490509678481547,0.6666302328123292,0.6576857629041406,0.6640547792644084,0.6759259259259262,0.6701346389228886,0.661896243291592,0.6507666343977593,0.6654722710192303
11406,3921,2021-09-05,2021,Arizona Diamondbacks,Seattle Mariners,0,123.0,-133.0,117.0,-137.0,123.0,-133.0,120.0,-141.0,120.0,-141.0,120.0,-141.0,125.0,-135.0,120.0,-141.0,0.4484304932735426,0.4608294930875576,0.4484304932735426,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4444444444444444,0.45454545454545453,0.5708154506437768,0.5780590717299579,0.5708154506437768,0.5850622406639004,0.5850622406639004,0.5850622406639004,0.574468085106383,0.5850622406639004,0.20745795474812642,0.2337981601082693,0.20745795474812642,0.18764802331936592,0.20316472341544656,0.1998446177912628,0.20570048782079517,0.20316472341544656,0.7916796647960306,0.7698363692497686,0.7815820002084433,0.8050884472592271,0.8050884472592271,0.7951909777635919,0.7903485231815487,0.7973571848164747
11418,3924,2021-09-06,2021,Washington Nationals,New York Mets,1,113.0,-123.0,105.0,-125.0,113.0,-123.0,110.0,-130.0,110.0,-128.0,105.0,-125.0,112.0,-120.0,115.0,-135.0,0.4694835680751174,0.4878048780487805,0.4694835680751174,0.47619047619047616,0.47619047619047616,0.4878048780487805,0.4716981132075472,0.46511627906976744,0.5515695067264574,0.5555555555555556,0.5515695067264574,0.5652173913043478,0.5614035087719298,0.5555555555555556,0.5454545454545454,0.574468085106383,0.3882052745555574,0.4424722257693781,0.3882052745555574,0.330549913488302,0.35073832929060805,0.43360433604336046,0.40640484268593324,0.3639629419550009,0.6178126143653347,0.5744054287634839,0.6094840941545954,0.6502369458018822,0.6386668933854787,0.571878279118573,0.5806843634553663,0.6273571045854436
11422,3925,2021-09-06,2021,New York Yankees,Toronto Blue Jays,0,-125.0,115.0,-127.0,107.0,-125.0,115.0,-128.0,107.0,-128.0,107.0,-130.0,110.0,-127.0,117.0,-130.0,110.0,0.5555555555555556,0.5594713656387665,0.5555555555555556,0.5614035087719298,0.5614035087719298,0.5652173913043478,0.5594713656387665,0.5652173913043478,0.46511627906976744,0.4830917874396135,0.46511627906976744,0.4830917874396135,0.4830917874396135,0.47619047619047616,0.4608294930875576,0.47619047619047616,0.6615017878426699,0.6555487003252071,0.6615017878426699,0.580804301432887,0.6162770644215543,0.678743961352657,0.6799566120137611,0.6668434075645102,0.34127705255624513,0.36045163615817,0.3366764135217118,0.4010951504353248,0.4010951504353248,0.3267875880677559,0.3179456445002007,0.3349193454798653
11430,3927,2021-09-06,2021,Pittsburgh Pirates,Detroit Tigers,1,127.0,-137.0,115.0,-135.0,127.0,-137.0,115.0,-141.0,115.0,-133.0,115.0,-135.0,122.0,-132.0,120.0,-141.0,0.44052863436123346,0.46511627906976744,0.44052863436123346,0.46511627906976744,0.46511627906976744,0.46511627906976744,0.45045045045045046,0.45454545454545453,0.5780590717299579,0.574468085106383,0.5780590717299579,0.5850622406639004,0.5708154506437768,0.574468085106383,0.5689655172413793,0.5850622406639004,0.29626732054627647,0.37501521977352975,0.29626732054627647,0.29802711341342436,0.3162291913460939,0.3617571059431525,0.340184945618322,0.33197831978319775,0.7025440574690038,0.6302458512306864,0.6930733017001593,0.7104396251801817,0.6672195978465606,0.6302828693264273,0.6536797996280419,0.6588813871258061
11434,3928,2021-09-06,2021,Milwaukee Brewers,Philadelphia Phillies,0,-133.0,123.0,-133.0,113.0,-133.0,123.0,-141.0,120.0,-141.0,120.0,-141.0,120.0,-133.0,123.0,-141.0,120.0,0.5708154506437768,0.5708154506437768,0.5708154506437768,0.5850622406639004,0.5850622406639004,0.5850622406639004,0.5708154506437768,0.5850622406639004,0.4484304932735426,0.4694835680751174,0.4484304932735426,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4484304932735426,0.45454545454545453,0.7099551376817895,0.6892765656247893,0.7099551376817895,0.6502854745563836,0.6900018169749964,0.7415859843245738,0.7153112837226345,0.7268888663990375,0.2879046883952629,0.3202725201759515,0.2840235439182603,0.31449506113678877,0.31449506113678877,0.25994467232662405,0.27944998350690287,0.27051177904142965
11438,3929,2021-09-06,2021,Chicago Cubs,Cincinnati Reds,1,138.0,-149.0,140.0,-161.0,138.0,-149.0,130.0,-156.0,133.0,-154.0,135.0,-154.0,141.0,-154.0,135.0,-161.0,0.42016806722689076,0.4166666666666667,0.42016806722689076,0.43478260869565216,0.4291845493562232,0.425531914893617,0.4149377593360996,0.425531914893617,0.5983935742971888,0.6168582375478927,0.5983935742971888,0.609375,0.6062992125984252,0.6062992125984252,0.6062992125984252,0.6168582375478927,0.23161827305415614,0.23096640488656203,0.23161827305415614,0.20894292190397684,0.2042596278866401,0.23640661938534288,0.22950704296755947,0.24419073977973818,0.767587471624316,0.7554054188295883,0.7572398878711084,0.7841964589355553,0.774865541909285,0.7285819335542134,0.7695911877762536,0.7534944956441356
11442,3930,2021-09-06,2021,Colorado Rockies,San Francisco Giants,0,140.0,-152.0,143.0,-167.0,140.0,-154.0,145.0,-172.0,145.0,-172.0,145.0,-164.0,146.0,-161.0,145.0,-169.0,0.4166666666666667,0.411522633744856,0.4166666666666667,0.40816326530612246,0.40816326530612246,0.40816326530612246,0.4065040650406504,0.40816326530612246,0.6031746031746031,0.6254681647940075,0.6062992125984252,0.6323529411764706,0.6323529411764706,0.6212121212121212,0.6168582375478927,0.6282527881040892,0.2205005959475567,0.21567233318251358,0.2205005959475567,0.13076699874262498,0.13875362477430653,0.1814058956916101,0.20322281704921394,0.19163763066202089,0.7828804172144042,0.780826765748985,0.7821865429277276,0.8539038978965162,0.8539038978965162,0.7746351235333396,0.8023742066464546,0.7874004572098122
11444,3931,2021-09-06,2021,St. Louis Cardinals,Los Angeles Dodgers,0,188.0,-204.0,195.0,-233.0,188.0,-208.0,175.0,-213.0,175.0,-213.0,185.0,-227.0,193.0,-213.0,190.0,-233.0,0.3472222222222222,0.3389830508474576,0.3472222222222222,0.36363636363636365,0.36363636363636365,0.3508771929824561,0.3412969283276451,0.3448275862068966,0.6710526315789473,0.6996996996996997,0.6753246753246753,0.6805111821086262,0.6805111821086262,0.6941896024464832,0.6805111821086262,0.6996996996996997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11446,3932,2021-09-06,2021,Cleveland Indians,Minnesota Twins,0,117.0,-127.0,107.0,-127.0,117.0,-128.0,106.0,-125.0,106.0,-122.0,110.0,-130.0,114.0,-123.0,110.0,-130.0,0.4608294930875576,0.4830917874396135,0.4608294930875576,0.4854368932038835,0.4854368932038835,0.47619047619047616,0.4672897196261682,0.47619047619047616,0.5594713656387665,0.5594713656387665,0.5614035087719298,0.5555555555555556,0.5495495495495496,0.5652173913043478,0.5515695067264574,0.5652173913043478,0.36072678138885994,0.42845941776057866,0.36072678138885994,0.3577048727741223,0.3795517842734064,0.3968253968253968,0.3926657612382606,0.39747064137308025,0.6430880731640377,0.5859671021377505,0.6405158018430329,0.6209261463469933,0.602705919658819,0.6017154067247592,0.5996697235361521,0.5998304665701266
11450,3933,2021-09-06,2021,Houston Astros,Seattle Mariners,1,-196.0,179.0,-208.0,177.0,-196.0,179.0,-238.0,185.0,-217.0,185.0,-200.0,170.0,-196.0,179.0,-208.0,175.0,0.6621621621621622,0.6753246753246753,0.6621621621621622,0.7041420118343196,0.6845425867507886,0.6666666666666666,0.6621621621621622,0.6753246753246753,0.35842293906810035,0.36101083032490977,0.35842293906810035,0.3508771929824561,0.3508771929824561,0.37037037037037035,0.35842293906810035,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11454,3934,2021-09-06,2021,Los Angeles Angels,Texas Rangers,0,-132.0,122.0,-135.0,116.0,-133.0,122.0,-156.0,123.0,-143.0,123.0,-141.0,120.0,-135.0,124.0,-141.0,120.0,0.5689655172413793,0.574468085106383,0.5708154506437768,0.609375,0.588477366255144,0.5850622406639004,0.574468085106383,0.5850622406639004,0.45045045045045046,0.46296296296296297,0.45045045045045046,0.4484304932735426,0.4484304932735426,0.45454545454545453,0.44642857142857145,0.45454545454545453,0.7040812132670257,0.7001364598418182,0.7099551376817895,0.7216874012638229,0.70064394649838,0.7415859843245738,0.726694986528187,0.7268888663990375,0.2943658698674539,0.3010200271011384,0.29039762441642586,0.2959443003729424,0.2959443003729424,0.25994467232662405,0.27323453824236005,0.27051177904142965
